<<<<<<< HEAD
20160618 ./watchlist/bithunt-submit.sh updated.
20160622 ./watchlist/l.sh added.
20160623 ./watchlist/hia-parse-dns.sh updated.
20160707 ./api/README.txt updated.
20160712 ./watchlist/hia-iplist.sh updated.
20160714 ./watchlist/hia-iplist.sh updated.
20160719 ./api/README.txt updated.
20160917 ./watchlist/l.sh updated.
20160917 ./watchlist/hia-parse-http.sh updated.
20160917 ./watchlist/hia-parse-http-ipfs.sh added.
20160917 ./watchlist/hia-parse-http-titles.sh added.
20160919 ./watchlist/l.sh updated.
20160919 ./watchlist/hia-parse-http-ipfs.sh updated.
20160919 ./watchlist/hia-parse-http-ipfs.sh updated.
20160925 ./watchlist/hia-parse-http.sh updated.
20160925 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161027 ./watchlist/hia-parse-nodeinfo.sh updated.
20161202 ./watchlist/hia-scan-udp.sh updated.
20161215 ./watchlist/hia-parse-http.sh updated.
20161230 ./watchlist/l.sh updated.
20161230 ./watchlist/hia-parse-http-titles.sh updated.
20170111 ./watchlist/hia-iplist.sh updated.
20170202 ./watchlist/hia-scan-tcp.sh updated.
20170202 ./watchlist/hia-scan-udp.sh updated.
20170220 ./watchlist/hia-scan-tcp.sh updated.
20170220 ./watchlist/hia-scan-udp.sh updated.
20231024 ./watchlist/l.sh updated.
20231024 ./watchlist/hia-iplist.sh updated.
20231024 ./watchlist/hia-parse-cifs.sh updated.
20231024 ./watchlist/hia-parse-dns.sh updated.
20231024 ./watchlist/hia-parse-ftp.sh updated.
20231024 ./watchlist/hia-parse-http.sh updated.
20231024 ./watchlist/hia-parse-http-ipfs.sh updated.
20231024 ./watchlist/hia-parse-http-titles.sh updated.
20231024 ./watchlist/hia-parse-nfs.sh updated.
20231024 ./watchlist/hia-parse-nodeinfo.sh updated.
20231024 ./watchlist/hia-parse-proxy.sh updated.
20231024 ./watchlist/hia-parse-ssh.sh updated.
20231024 ./watchlist/hia-parse-ssl.sh updated.
20231024 ./watchlist/clean.sh added.
20231024 ./watchlist/hia-parse-http-git.sh added.
20231024 ./watchlist/pubk.sh added.
20231024 ./watchlist/c/l.sh added.
20231024 ./watchlist/c/top.sh added.
20231024 ./watchlist/c/walk.sh added.
20231024 ./watchlist/c/ver-d.sh added.
20231024 ./watchlist/c/walk2b.sh added.
20231024 ./watchlist/c/ver-m.sh added.
20231024 ./watchlist/c/counts.sh added.
20231024 ./watchlist/c/walk2c.sh added.
20231024 ./watchlist/c/v.sh added.
20231024 ./watchlist/c/walk2.sh added.
20231024 ./watchlist/c/shame.sh added.
20231024 ./test/d3map/d3map.sh added.
20231024 ./test/d3map/d3.v3.min.js added.
20231024 ./README.txt updated.
20231024 ./watchlist/hia-parse-cifs.sh updated.
20231024 ./watchlist/hia-parse-dns.sh updated.
20231024 ./watchlist/hia-parse-ftp.sh updated.
20231024 ./watchlist/hia-parse-http.sh updated.
20231024 ./watchlist/hia-parse-http-ipfs.sh updated.
20231024 ./watchlist/hia-parse-http-titles.sh updated.
20231024 ./watchlist/hia-parse-nfs.sh updated.
20231024 ./watchlist/hia-parse-nodeinfo.sh updated.
20231024 ./watchlist/hia-parse-proxy.sh updated.
20231024 ./watchlist/hia-parse-ssh.sh updated.
20231024 ./watchlist/hia-parse-ssl.sh updated.
20231024 ./watchlist/hia-parse-ver.sh updated.
20231024 ./watchlist/hia-parse-http-git.sh updated.
20231025 ./watchlist/hia-parse-http-titles.sh updated.
20231025 ./watchlist/hia-parse-http-git.sh updated.
20231106 ./watchlist/c/shame.sh updated.
20231203 ./watchlist/pubk.sh updated.
20240203 ./watchlist/hia-scan-udp.sh updated.
20240203 ./watchlist/hia-scan-tcp.sh updated.
20240203 ./watchlist/hia-scan-udp.sh updated.
20240210 ./watchlist/hia-parse-http-cjdradio.sh added.
20240210 ./watchlist/hia-parse-http-cjdradio.sh updated.
20240229 ./watchlist/hia-parse-http-cjdradio.sh updated.
20240229 ./watchlist/hia-parse-nntp.sh added.
20240229 ./watchlist/hia-parse-nntp.sh updated.
20240305 ./watchlist/hia-scan-tcp.sh updated.
20240305 ./watchlist/hia-scan-udp.sh updated.
20240702 ./watchlist/bithunt-submit.sh updated.
20240702 ./watchlist/hia-parse-ssh.sh updated.
20240703 ./watchlist/hia-parse-ssh.sh updated.
20240705 ./watchlist/hia-parse-http-ak.sh added.
20240714 ./watchlist/hia-iplist.sh updated.
20240803 ./watchlist/hia-parse-http-log.sh added.
20240804 ./watchlist/hia-parse-http-log.sh updated.
20240804 ./watchlist/hia-parse-http-referer.sh added.
20240809 ./watchlist/hia-iplist.sh updated.
20240810 ./watchlist/hia-iplist.sh updated.
20240810 ./watchlist/hia-iplist.sh updated.
20240810 ./watchlist/hia-parse-stats.sh added.
20240812 ./watchlist/hia-parse-stats.sh updated.
20240818 ./watchlist/hia-parse-http-referer.sh updated.
20240818 ./watchlist/hia-parse-stats.sh updated.
20240819 ./watchlist/hia-scan-tcp.sh updated.
20240819 ./watchlist/hia-scan-udp.sh updated.
20240901 ./watchlist/hia-parse-ssh.sh updated.
20240901 ./watchlist/hia-parse-ssl.sh updated.
20240901 ./watchlist/hia-parse-ver.sh updated.
20240901 ./watchlist/hia-scan-tcp.sh updated.
20240901 ./watchlist/hia-scan-udp.sh updated.
20240902 ./watchlist/hia-parse-ssh.sh updated.
20240902 ./watchlist/hia-parse-ssl.sh updated.
20240902 ./watchlist/hia-parse-ver.sh updated.
20240902 ./watchlist/hia-scan-tcp.sh updated.
20240902 ./watchlist/hia-scan-udp.sh updated.
20240902 ./watchlist/hia-scan-tcp.sh updated.
20240902 ./watchlist/hia-scan-udp.sh updated.
20240908 ./watchlist/hia-scan-udp.sh updated.
20241005 ./watchlist/hia-parse-http-ak.sh updated.
20241020 ./watchlist/hia-scan-tcp.sh updated.
20241020 ./watchlist/hia-scan-udp.sh updated.
20250224 ./walk/l.sh added.
20250224 ./walk/top.sh added.
20250224 ./walk/walk.sh added.
20250224 ./walk/ver-d.sh added.
20250224 ./walk/ver-m.sh added.
20250224 ./walk/counts.sh added.
20250224 ./walk/v.sh added.
20250224 ./walk/walk2.sh added.
20250224 ./walk/shame.sh added.
20250224 ./walk/l.sh updated.
20250224 ./walk/top.sh updated.
20250224 ./walk/ver-d.sh updated.
20250224 ./walk/ver-m.sh updated.
20250224 ./walk/counts.sh updated.
20250224 ./walk/shame.sh updated.
20250224 ./walk/l.sh updated.
20250224 ./test/d3map/d3map.sh updated.
>>>>>>> eddce5efc0794ea0df3ad9257e8bb1feadd8090e
20260108 ./var/www/cjdns/hia/README.txt added.
20260108 ./var/www/cjdns/hia/HOWTO.txt added.
20260108 ./var/www/cjdns/hia/api/README.txt added.
20260108 ./var/www/cjdns/hia/api/api-update.sh added.
20260108 ./var/www/cjdns/hia/api/api-dump.sh added.
20260108 ./var/www/cjdns/hia/watchlist/clean.sh added.
20260108 ./var/www/cjdns/hia/watchlist/l.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-iplist.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-cifs.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-dns.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-ftp.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-ipfs.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-ak.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-titles.sh added.
